timestamp,event_type,reason,latitude,longitude
11/19/2025 12:19,ENTRY,pps=10.45 for 3s (smoothed),36.13796626,-97.08746963
11/19/2025 12:19,EXIT,pps~0 for 4s (smoothed),36.12858056,-97.0873777
11/19/2025 12:20,ENTRY,pps=10.45 for 3s (smoothed),36.12690389,-97.08739425
11/19/2025 12:20,EXIT,pps~0 for 4s (smoothed),36.12607433,-97.08733438
11/19/2025 12:23,ENTRY,pps=20.90 for 3s (smoothed),36.13063605,-97.08720758
11/19/2025 12:24,EXIT,pps~0 for 4s (smoothed),36.13974665,-97.08736566
11/19/2025 12:26,ENTRY,pps=10.45 for 3s (smoothed),36.13723305,-97.08746206
11/19/2025 12:27,EXIT,pps~0 for 4s (smoothed),36.13275174,-97.08740587
11/19/2025 12:27,ENTRY,pps=10.45 for 3s (smoothed),36.12842888,-97.0873825
11/19/2025 12:27,EXIT,pps~0 for 4s (smoothed),36.12730304,-97.08738912
11/19/2025 12:27,ENTRY,pps=10.45 for 3s (smoothed),36.12651257,-97.0874065
11/19/2025 12:28,EXIT,pps~0 for 4s (smoothed),36.12575907,-97.08722915
11/19/2025 12:32,ENTRY,pps=10.45 for 3s (smoothed),36.12656043,-97.08727924
11/19/2025 12:32,EXIT,pps~0 for 4s (smoothed),36.1275245,-97.08726544
11/19/2025 12:32,ENTRY,pps=10.45 for 3s (smoothed),36.13023337,-97.08719495
11/19/2025 12:32,EXIT,pps~0 for 4s (smoothed),36.13023369,-97.08719502
11/19/2025 12:32,ENTRY,pps=10.45 for 3s (smoothed),36.13023384,-97.08719498
11/19/2025 12:33,EXIT,pps~0 for 4s (smoothed),36.13046541,-97.08719362
11/19/2025 12:33,ENTRY,pps=10.45 for 3s (smoothed),36.13082249,-97.08720384
11/19/2025 12:34,EXIT,pps~0 for 4s (smoothed),36.13919949,-97.08735336
11/19/2025 12:36,ENTRY,pps=10.45 for 3s (smoothed),36.13721783,-97.08746354
11/19/2025 12:37,EXIT,pps~0 for 4s (smoothed),36.13038544,-97.08616921
11/19/2025 12:38,ENTRY,pps=10.45 for 3s (smoothed),36.13072887,-97.08720429
11/19/2025 12:39,EXIT,pps~0 for 4s (smoothed),36.13877566,-97.08734651
